Базовый				
Услуга				Цена
1 серния давлин 				
Процедура 1 серия				70000
Derma v 				
Лечение купероза и розации				800000,00
Лазерное удаление вен на нижних конечностях				150000,00
Лазерное лечение гемагингиом, ангиом,сосудистых новообразований от				300000,00
удаление пигментации все лицо				800000,00
Лазерное удаление сосудистых звездочек на лице от				300000,00
Лазерное удаление телеангиэтазий на всём теле от				1000000,00
Лазерное удаление телеангиэтазий на крыльях носа от				400000,00
Лечение онихомикоза ногтей 1 ноготь				300000,00
Лечение онихомикоза ногтей от				1300000,00
Коррекция рубца				1500000,00
Face art лечение розацеа акне				2000000,00
Лазерное лечение гемангиом				1400000,00
Eptaderm 				
Тропонин I				84000,00
Epta PSO 10 Rich Emulsion 200ml				410000,00
Epta Pso 50 Plus crem				280000,00
Epta pso nails 12ml				220000,00
Epta spot Cleansing 150ml				290000,00
Epta spot night serum 30				400000,00
epta spot 50 spf 50ml				330000,00
Epta VTLG Emulsion 50ml				450000,00
Epta PSO 30 Cream 100ml				340000,00
EPTA AC SCRUB clensing				310000,00
EPTA AC Fluid Cleansing				310000,00
EPTA AC Sebo- normalizing				315000,00
EPTA DS Spray				315000,00
Epta DS Shampoo				365000,00
Epta DS Cleansing				320000,00
Epta PSO Shampoo				345000,00
Epta CREME				290000,00
EPTA CREME				355000,00
EPTA SPOT Intensive serum				330000,00
Healinte 				
Волосы				110000,00
Лицо				130000,00
Hooywood Spectra 				
Лечение акне, красноты, пост акне (gold toning)				400000,00
Лечение пигментации лицо				1200000,00
Лечение пигментации до 5 см2				350000,00
Лечение пигментации щеки				1000000,00
Осветление зоны бикини				900000,00
карбоновый пилинг				700000,00
карбоновый пилинг+ gold toning				1000000,00
Удаление татуажа бровей				400000,00
Удаление татуировки 6 см				400000,00
Лечение рубцов 5см2				300000,00
Лечение пигментации до 10 см 2				500000,00
Лечения пигментации				700000,00
TEOSYAL 				
TEOSYAL PureSense Ultra Deep				2500000,00
TEOSYAL Pure Sense Kiss				3000000,00
TEOSYAL Pure Sense Redensity 1 3ml				2900000,00
TEOSYAL Pure Sense Redensity 1 1ml				1600000,00
TEOSYAL Pure Sense Redensity 2 1ml				2300000,00
TEOSYAL RHA 1				2000000,00
TEOSYAL RHA 2				2400000,00
TEOSYAL RHA 3				2200000,00
TEOSYAL RHA 4 1.2ml				2600000,00
TEOSYAL KISS 0.7				2400000,00
Vichi dercos 				
dercos dandruff and scalp для нормальных и жирных 200мл				280000,00
Vichi Dercos аминексил средство для волос для женщин 21 монодоза 6мл				770000,00
Vichi Dercos аминексил средство для волос для мужчин 21 монодоза 6мл				770000,00
Vichi Dercos энерджи шампунь против выпадения волос 400мл				380000,00
Vichi Dercos энерджи шампунь против выпадения волос 200мл				280000,00
Vichi Dercos тонизирующий кондиционер для волос 200мл				300000,00
Vichi Dercos шампунь пилинг против перхоти 250мл				260000,00
Vichi Dercos псолюшн кераторегулирующий шампунь 200мл				270000,00
Vichi Dercos против перхоти для чувствительной кожи головы 200мл				260000,00
Vichi Dercos против перхоти для жирных волос 200мл				260000,00
Vichi Dercos против перхоти для жирных волос 390мл				390000,00
Vichi Dercos против перхоти для сухих волос 200мл				250000,00
Vichi Dercos против перхоти для сухих волос 390мл				380000,00
Vichi Dercos шампунь кондиционер против пехоти 2 в 1 200мл				290000,00
Vichi Dercos шампунь кондиционер против пехоти 2 в 1 390мл				410000,00
Vichi Dercos регулир шампунь для жирных волос 200мл				260000,00
Vichi Dercos успокаивающий шампунь для нормальных и жирных волос 200мл				260000,00
Vichi термальная вода 15мл				150000,00
Vichi уходовая 				
виши минерал 89 гель - сыворотка 50мл				450000,00
виши минерал 89 увлажнаяющий крем 72ч 50мл				430000,00
виши минерал 89 увлажняющий крем 72ч для сухой кожи 50мл				430000,00
виши минерал 79 матирующий гель для жирной кожи 50мл				430000,00
Аллерго проба 10 пунктов 				
Аллерго проба 10 пунктов				500000,00
Аренда аппаратов 				
Дермапал				1000000,00
1 серия				1500000,00
Врач УЗИ				
Трансабдоминальное (ТА) исследование матки и яичников				85000,00
Трансабдоминальное (ТА) исследование матки и яичников с допплерографией				75000,00
Трансвагинальное (ТВ) исследование матки и яичников				90000,00
Трансвагинальное (ТВ) исследование матки и яичников с допплерографией				80000,00
УЗИ молочной железы				70000,00
УЗИ молочной железы с допплерографией				75000,00
УЗИ мочевого пузыря и мочеточников				50000,00
УЗИ органов малого таза при беременности				85000,00
УЗИ органов малого таза, матки и яичника				80000,00
УЗИ печени и желчного пузыря				65000,00
УЗИ печени и желчного пузыря с определением функций желчного пузыря (натощак и после еды)				75000,00
